index,Job Title,Salary Estimate,,Rating,Company Name,Location,Founded,Type of ownership,,Lower Salary,Upper Salary,Avg Salary(K)
152,Data Scientist,$64K-$106K (Glassdoor est.),,3.2,"First Command Financial Services, Inc.
3.2","Fort Worth, TX",1958,Company - Private,,64,106,85
153,Associate Scientist,$51K-$112K (Glassdoor est.),,2.9,"Pharmavite
2.9","Valencia, CA",1971,Company - Private,,51,112,81.5
154,"Scientist 2, QC Viral Vector",$113K-$223K (Glassdoor est.),,3.8,"BioMarin Pharmaceutical
3.8","Novato, CA",1997,Company - Public,,113,223,168
156,Machine Learning Engineer,$72K-$129K (Glassdoor est.),,4.3,"Stratagem Group
4.3","Aurora, CO",2007,Company - Private,,72,129,100.5
157,Data Scientist/ML Engineer,$71K-$123K (Glassdoor est.),,3.4,"PA Consulting
3.4","New York, NY",1943,Company - Private,,71,123,97
158,Data Scientist,$64K-$106K (Glassdoor est.),,4.1,"ManTech
4.1","Chantilly, VA",1968,Company - Public,,64,106,85
159,Customer Data Scientist,$118K-$189K (Glassdoor est.),,4.3,"h2o.ai
4.3","Mountain View, CA",2011,Company - Private,,118,189,153.5
161,Data Engineer,Employer Provided Salary:$120K-$145K,,5,"Gridiron IT
5.0","Tampa, FL",2017,Company - Private,,120,145,132.5
162,Data Engineer,$80K-$120K (Glassdoor est.),,4.3,"Productive Edge
4.3","Chicago, IL",2008,Company - Private,,80,120,100
164,Sr. Data Scientist,$80K-$130K (Glassdoor est.),,3.7,"Evolve Vacation Rental
3.7","Denver, CO",2011,Company - Private,,80,130,105
166,Data Engineer 4 - Contract,$59K-$115K (Glassdoor est.),,4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",-1,Nonprofit Organization,,59,115,87
167,Data Analyst - Asset Management,$71K-$136K (Glassdoor est.),,4.3,"Maximus Real Estate Partners
4.3","San Francisco, CA",2013,Company - Private,,71,136,103.5
168,Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K (Glassdoor est.),,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",1984,College / University,,81,167,124
169,Data Scientist - Bioinformatics,$49K-$85K (Glassdoor est.),,3.8,"PNNL
3.8","Richland, WA",1965,Government,,49,85,67
170,Data Engineer,$60K-$114K (Glassdoor est.),,3.9,"AVANADE
3.9","Washington, DC",2000,Company - Private,,60,114,87
171,Customer Data Scientist/Sales Engineer,$71K-$204K (Glassdoor est.),,4.3,"h2o.ai
4.3","Chicago, IL",2011,Company - Private,,71,204,137.5
172,Lead Data Scientist,$75K-$125K (Glassdoor est.),,3.8,"PatientPoint
3.8","Cincinnati, OH",1987,Company - Private,,75,125,100
174,MongoDB Data Engineer II,$77K-$136K (Glassdoor est.),,3.8,"BlueCross BlueShield of Tennessee
3.8","Chattanooga, TN",1945,Nonprofit Organization,,77,136,106.5
